OrderID,CustomerID,ProductID,OrderDate,ShipDate,ShipMode,Sales,Order_Year,Order_Month,Order_Day,Order_Weekday,Shipping_Delay,Log_Sales,Scaled_Sales
CA-2015-139892,BM-11140,FUR-CH-10004287,2015-08-09,2015-12-09,Standard Class,1740.06,2015,8,9,6,122,7.462249402126681,0.0994036707785423
CA-2015-139892,BM-11140,OFF-AR-10002656,2015-08-09,2015-12-09,Standard Class,32.064,2015,8,9,6,122,3.498445077209431,0.0018005194922749
CA-2015-139892,BM-11140,OFF-AP-10002518,2015-08-09,2015-12-09,Standard Class,177.98,2015,8,9,6,122,5.187274067754712,0.0101388653801383
CA-2015-139892,BM-11140,TEC-PH-10003931,2015-08-09,2015-12-09,Standard Class,143.976,2015,8,9,6,122,4.976568211479705,0.00819571237724
CA-2015-118962,CS-12130,OFF-PA-10000659,2015-05-08,2015-09-08,Standard Class,20.94,2015,5,8,4,123,3.088311454847084,0.0011648403367568
CA-2015-118962,CS-12130,OFF-PA-10001144,2015-05-08,2015-09-08,Standard Class,110.96,2015,5,8,4,123,4.718141664647253,0.0063090184722968
CA-2015-118962,CS-12130,FUR-CH-10003817,2015-05-08,2015-09-08,Standard Class,340.144,2015,5,8,4,123,5.83230467553532,0.0194057005631166
CA-2015-166191,DK-13150,OFF-ST-10003455,2015-05-12,2015-09-12,Second Class,24.816,2015,5,12,1,123,3.2509944547496605,0.0013863337210419
CA-2015-166191,DK-13150,TEC-AC-10004659,2015-05-12,2015-09-12,Second Class,408.744,2015,5,12,1,123,6.015532574441682,0.0233258363118174
CA-2015-133690,BS-11755,FUR-TA-10004289,2015-03-08,2015-05-08,First Class,218.75,2015,3,8,6,61,5.392490536565286,0.0124686603433238
CA-2015-133690,BS-11755,OFF-AP-10003622,2015-03-08,2015-05-08,First Class,2.6,2015,3,8,6,61,1.2809338454620642,0.0001168040447572
CA-2018-126382,HK-14890,FUR-FU-10002960,2018-03-06,2018-07-06,Standard Class,35.168,2018,3,6,1,122,3.588174749992304,0.0019778970631783
CA-2018-135860,JH-15985,OFF-ST-10000642,2018-01-12,2018-07-12,Standard Class,83.92,2018,1,12,4,181,4.441709636835055,0.0047638221072112
CA-2018-135860,JH-15985,TEC-PH-10001700,2018-01-12,2018-07-12,Standard Class,131.98,2018,1,12,4,181,4.890198740974308,0.0075102029247412
CA-2018-135860,JH-15985,OFF-BI-10003274,2018-01-12,2018-07-12,Standard Class,15.92,2018,1,12,4,181,2.828496354178077,0.0008779732601026
CA-2018-135860,JH-15985,OFF-FA-10000134,2018-01-12,2018-07-12,Standard Class,52.29,2018,1,12,4,181,3.975748696308691,0.0029563309449458
CA-2018-135860,JH-15985,OFF-ST-10001522,2018-01-12,2018-07-12,Standard Class,91.99,2018,1,12,4,181,4.5324919604901055,0.0052249809336254
CA-2016-146262,VW-21775,OFF-LA-10004544,2016-02-01,2016-09-01,Standard Class,23.68,2016,2,1,0,213,3.205993199037187,0.0013214171873608
CA-2016-146262,VW-21775,FUR-BO-10004695,2016-02-01,2016-09-01,Standard Class,452.45,2016,2,1,0,213,6.1168850098935765,0.0258234085134605
CA-2016-146262,VW-21775,TEC-PH-10002844,2016-02-01,2016-09-01,Standard Class,62.982,2016,2,1,0,213,4.158601793801473,0.0035673235313177
CA-2016-146262,VW-21775,TEC-MA-10000864,2016-02-01,2016-09-01,Standard Class,1188.0,2016,2,1,0,213,7.080867896690782,0.0678562926236188
CA-2016-146262,VW-21775,TEC-AC-10000109,2016-02-01,2016-09-01,Standard Class,89.584,2016,2,1,0,213,4.506277597011739,0.005087490458241
US-2018-100930,CS-12400,FUR-TA-10001705,2018-07-04,2018-12-04,Standard Class,233.86,2018,7,4,2,153,5.458989591936935,0.0133321188150858
US-2018-100930,CS-12400,FUR-TA-10003473,2018-07-04,2018-12-04,Standard Class,620.6145,2018,7,4,2,153,6.432320125679697,0.0354331412847782
US-2018-100930,CS-12400,OFF-BI-10001679,2018-07-04,2018-12-04,Standard Class,5.328,2018,7,4,2,153,1.8449842304653528,0.0002726951573294
US-2018-100930,CS-12400,FUR-FU-10004017,2018-07-04,2018-12-04,Standard Class,258.072,2018,7,4,2,153,5.557106015344837,0.0147157095840004
US-2018-100930,CS-12400,TEC-AC-10003832,2018-07-04,2018-12-04,Standard Class,617.976,2018,7,4,2,153,6.428066499719687,0.0352823646350267
CA-2017-157749,KL-16645,OFF-PA-10003349,2017-04-06,2017-09-06,Second Class,25.92,2017,4,6,3,153,3.2928695047765277,0.0014494216199715
CA-2017-157749,KL-16645,FUR-FU-10000576,2017-04-06,2017-09-06,Second Class,419.68,2017,4,6,3,153,6.041872449651828,0.02395077223817
CA-2017-157749,KL-16645,FUR-FU-10004351,2017-04-06,2017-09-06,Second Class,11.688,2017,4,6,3,153,2.5406566648924924,0.000636136314206
CA-2017-157749,KL-16645,TEC-PH-10000011,2017-04-06,2017-09-06,Second Class,31.984,2017,4,6,3,153,3.496022595404599,0.001795947905396
CA-2017-157749,KL-16645,FUR-TA-10002607,2017-04-06,2017-09-06,Second Class,177.225,2017,4,6,3,153,5.183046797003692,0.0100957210289682
CA-2017-157749,KL-16645,FUR-FU-10002505,2017-04-06,2017-09-06,Second Class,4.044,2017,4,6,3,153,1.618199418102673,0.0001993211879222
CA-2017-157749,KL-16645,OFF-AR-10004685,2017-04-06,2017-09-06,Second Class,7.408,2017,4,6,3,153,2.1291836335746503,0.0003915564161821
CA-2015-131926,DW-13480,FUR-CH-10004063,2015-01-06,2015-06-06,Second Class,2001.86,2015,1,6,1,151,7.602331438065773,0.1143641888399106
CA-2015-131926,DW-13480,OFF-ST-10002276,2015-01-06,2015-06-06,Second Class,166.72,2015,1,6,1,151,5.122295922302562,0.0094954145269259
CA-2015-131926,DW-13480,OFF-PA-10004082,2015-01-06,2015-06-06,Second Class,47.88,2015,1,6,1,151,3.88936831486334,0.0027043222182436
CA-2015-131926,DW-13480,OFF-AP-10002945,2015-01-06,2015-06-06,Second Class,1503.25,2015,1,6,1,151,7.316049714100461,0.0858712021684865
CA-2015-131926,DW-13480,OFF-PA-10000061,2015-01-06,2015-06-06,Second Class,25.92,2015,1,6,1,151,3.2928695047765277,0.0014494216199715
CA-2018-163139,CC-12670,TEC-AC-10000290,2018-01-12,2018-03-12,Second Class,20.37,2018,1,12,4,59,3.0619880693310564,0.0011322677802442
CA-2018-163139,CC-12670,OFF-ST-10002790,2018-01-12,2018-03-12,Second Class,221.55,2018,1,12,4,59,5.405151795461864,0.0126286658840871
CA-2018-163139,CC-12670,OFF-BI-10003460,2018-01-12,2018-03-12,Second Class,17.52,2018,1,12,4,59,2.918851229218033,0.0009694049976816
US-2018-155299,Dl-13600,OFF-AP-10002203,2018-08-06,2018-12-06,Standard Class,1.624,2018,8,6,0,122,0.9646998710818426,6.103068483400054e-05
CA-2016-130890,JO-15280,FUR-TA-10002903,2016-02-11,2016-06-11,Standard Class,1038.84,2016,2,11,3,121,6.946822134146038,0.059332568887814
CA-2016-144253,AS-10225,FUR-FU-10002671,2016-04-05,2016-09-05,Second Class,26.8,2016,4,5,1,153,3.3250360206965914,0.0014997090756399
CA-2015-111003,CR-12625,OFF-BI-10001072,2015-01-06,2015-06-06,Standard Class,45.48,2015,1,6,1,151,3.839022112543656,0.0025671746118751
CA-2015-111003,CR-12625,OFF-AR-10002135,2015-01-06,2015-06-06,Standard Class,289.2,2015,1,6,1,151,5.670570340450087,0.0164945140386004
CA-2015-164973,NM-18445,FUR-CH-10002602,2015-04-11,2015-09-11,Standard Class,135.882,2015,4,11,5,153,4.919119240815592,0.0077331820747621
CA-2015-164973,NM-18445,TEC-MA-10002927,2015-04-11,2015-09-11,Standard Class,3991.98,2015,4,11,5,153,8.292293098285338,0.228089269834144
CA-2015-164973,NM-18445,TEC-PH-10004093,2015-04-11,2015-09-11,Standard Class,275.94,2015,4,11,5,153,5.623800876226568,0.0157367735134142
CA-2015-164973,NM-18445,TEC-AC-10000892,2015-04-11,2015-09-11,Standard Class,360.0,2015,4,11,5,153,5.8888779583328805,0.0205403684264723
CA-2015-164973,NM-18445,OFF-ST-10002974,2015-04-11,2015-09-11,Standard Class,43.57,2015,4,11,5,153,3.797060986958464,0.0024580279751401
CA-2018-153339,DJ-13510,FUR-FU-10001967,2018-03-11,2018-05-11,Second Class,15.992,2018,3,11,6,61,2.832742645059529,0.0008820876882936
CA-2016-137946,DB-13615,OFF-BI-10001922,2016-01-09,2016-04-09,Second Class,4.752,2016,1,9,5,91,1.7495476204187457,0.0002397797318009
CA-2016-137946,DB-13615,TEC-CO-10001449,2016-01-09,2016-04-09,Second Class,959.984,2016,1,9,5,91,6.867957759508069,0.0548263557012317
CA-2016-137946,DB-13615,OFF-BI-10004140,2016-01-09,2016-04-09,Second Class,14.368,2016,1,9,5,91,2.7322874254662555,0.0007892844746509
CA-2018-134306,TD-20995,OFF-AR-10004027,2018-08-07,2018-12-07,Standard Class,7.56,2018,8,7,1,122,2.1471001901536506,0.0004002424312521
CA-2018-134306,TD-20995,OFF-PA-10000249,2018-08-07,2018-12-07,Standard Class,24.56,2018,8,7,1,122,3.241028629509334,0.0013717046430293
CA-2018-134306,TD-20995,OFF-AR-10001374,2018-08-07,2018-12-07,Standard Class,12.96,2018,8,7,1,122,2.6361960973342264,0.0007088245455814
CA-2017-129714,AB-10060,TEC-AC-10000290,2017-01-09,2017-03-09,First Class,6.79,2017,1,9,0,59,2.052840859882657,0.0003562409075422
CA-2017-129714,AB-10060,OFF-PA-10001970,2017-01-09,2017-03-09,First Class,24.56,2017,1,9,0,59,3.241028629509334,0.0013717046430293
CA-2017-129714,AB-10060,OFF-BI-10002160,2017-01-09,2017-03-09,First Class,3.048,2017,1,9,0,59,1.3982229319851645,0.0001424049312793
CA-2017-129714,AB-10060,OFF-PA-10001970,2017-01-09,2017-03-09,First Class,49.12,2017,1,9,0,59,3.9144201300278674,0.0027751818148674
CA-2017-129714,AB-10060,OFF-BI-10004995,2017-01-09,2017-03-09,First Class,4355.168,2017,1,9,0,59,8.379348050802257,0.2488435885265512
CA-2018-155698,VB-21745,OFF-AP-10001124,2018-08-03,2018-11-03,First Class,647.84,2018,8,3,4,92,6.475186153181914,0.0369889380169393
CA-2018-155698,VB-21745,OFF-LA-10001158,2018-08-03,2018-11-03,First Class,20.7,2018,8,3,4,92,3.077312260546414,0.0011511255761199
CA-2016-122756,DK-13225,TEC-MA-10001681,2016-03-12,2016-07-12,Standard Class,482.34,2016,3,12,5,122,6.180720339754835,0.0275314676611087
CA-2016-122756,DK-13225,FUR-FU-10001935,2016-03-12,2016-07-12,Standard Class,2.96,2016,3,12,5,122,1.3762440252663892,0.0001373761857124
US-2015-134971,BP-11095,OFF-BI-10003982,2015-07-06,2015-10-06,Second Class,12.462,2015,7,6,0,92,2.5998709015885213,0.0006803664172599
CA-2017-108987,AG-10675,OFF-ST-10001580,2017-08-09,2017-10-09,Second Class,35.952,2017,8,9,2,61,3.609619773128304,0.002022698614592
CA-2017-108987,AG-10675,FUR-BO-10004834,2017-08-09,2017-10-09,Second Class,2396.2656,2017,8,9,2,61,7.782084033469077,0.1369024321642223
CA-2017-108987,AG-10675,OFF-ST-10000934,2017-08-09,2017-10-09,Second Class,131.136,2017,8,9,2,61,4.883831695218789,0.0074619726831683
CA-2017-108987,AG-10675,TEC-AC-10000158,2017-08-09,2017-10-09,Second Class,57.584,2017,8,9,2,61,4.070461621758769,0.0032588557066604
CA-2018-117457,KH-16510,TEC-AC-10000158,2018-08-12,2018-12-12,Standard Class,179.95,2018,8,12,6,122,5.198220750009751,0.0102514407070324
CA-2018-117457,KH-16510,TEC-CO-10004115,2018-08-12,2018-12-12,Standard Class,1199.976,2018,8,12,6,122,7.090889838533103,0.0685406591793978
CA-2018-117457,KH-16510,OFF-PA-10003724,2018-08-12,2018-12-12,Standard Class,27.15,2018,8,12,6,122,3.3375473545856997,0.0015197097682354
CA-2018-117457,KH-16510,FUR-TA-10002041,2018-08-12,2018-12-12,Standard Class,1004.024,2018,8,12,6,122,6.912766700805054,0.0573430142780944
CA-2018-117457,KH-16510,OFF-PA-10002893,2018-08-12,2018-12-12,Standard Class,9.68,2018,8,12,6,122,2.3683728335320486,0.0005213894835444
CA-2018-117457,KH-16510,OFF-LA-10003766,2018-08-12,2018-12-12,Standard Class,28.35,2018,8,12,6,122,3.379292546274105,0.0015882835714196
CA-2018-117457,KH-16510,OFF-PA-10001970,2018-08-12,2018-12-12,Standard Class,55.98,2018,8,12,6,122,4.0427003290697625,0.0031671953897374
CA-2018-117457,KH-16510,FUR-BO-10001972,2018-08-12,2018-12-12,Standard Class,1336.829,2018,8,12,6,122,7.198803429830131,0.0763611014187119
CA-2018-117457,KH-16510,FUR-CH-10003956,2018-08-12,2018-12-12,Standard Class,113.568,2018,8,12,6,122,4.741168533176402,0.0064580522045506
CA-2018-142636,KC-16675,OFF-PA-10000157,2018-03-11,2018-07-11,Standard Class,139.86,2018,3,11,6,122,4.947766489317265,0.0079605042323179
CA-2018-142636,KC-16675,FUR-CH-10001891,2018-03-11,2018-07-11,Standard Class,307.136,2018,3,11,6,122,5.730541243956893,0.0175194638168613
CA-2018-154816,VB-21745,OFF-PA-10003845,2018-06-11,2018-10-11,Standard Class,5.78,2018,6,11,0,122,1.913977101952304,0.0002985246231955
CA-2018-110478,SP-20860,OFF-AR-10001573,2018-04-03,2018-09-03,Standard Class,9.32,2018,4,3,1,153,2.334083760053417,0.0005008173425891
CA-2018-110478,SP-20860,OFF-EN-10000483,2018-04-03,2018-09-03,Standard Class,15.25,2018,4,3,1,153,2.7880929087757464,0.0008396862199913
CA-2018-152275,KH-16630,OFF-AR-10000369,2018-01-10,2018-08-10,Standard Class,6.672,2018,1,10,2,212,2.037577337581137,0.0003494978168958
CA-2017-127369,DB-13060,OFF-ST-10003306,2017-06-06,2017-07-06,First Class,714.3,2017,6,6,1,30,6.572702035114338,0.0407867838166281
CA-2017-115756,PK-19075,FUR-FU-10000246,2017-05-09,2017-07-09,Second Class,12.22,2017,5,9,1,61,2.5817308344235403,0.0006665373669511
CA-2017-115756,PK-19075,OFF-ST-10000060,2017-05-09,2017-07-09,Second Class,194.94,2017,5,9,1,61,5.277808489916496,0.0111080417984759
CA-2017-115756,PK-19075,OFF-ST-10003058,2017-05-09,2017-07-09,Second Class,70.95,2017,5,9,1,61,4.2759714333333765,0.0040226535844612
CA-2017-115756,PK-19075,OFF-PA-10002222,2017-05-09,2017-07-09,Second Class,91.36,2017,5,9,1,61,4.525693984486295,0.0051889796869537
CA-2017-115756,PK-19075,FUR-CH-10002372,2017-05-09,2017-07-09,Second Class,242.94,2017,5,9,1,61,5.496922293415092,0.0138509939258468
CA-2017-115756,PK-19075,OFF-LA-10001317,2017-05-09,2017-07-09,Second Class,22.05,2017,5,9,1,61,3.1376657694426577,0.0012282711047022
CA-2017-166674,RB-19360,OFF-AR-10000588,2017-01-04,2017-03-04,Second Class,59.52,2017,1,4,2,59,4.102973888920155,0.003369488109131
CA-2017-166674,RB-19360,OFF-ST-10001469,2017-01-04,2017-03-04,Second Class,161.94,2017,1,4,2,59,5.093382034882496,0.0092222622109085
CA-2017-166674,RB-19360,OFF-AR-10001953,2017-01-04,2017-03-04,Second Class,263.88,2017,1,4,2,59,5.579276893238991,0.0150476067914123
CA-2017-166674,RB-19360,OFF-AR-10003156,2017-01-04,2017-03-04,Second Class,30.48,2017,1,4,2,59,3.4493524235492026,0.0017100020720717
CA-2017-166674,RB-19360,OFF-AR-10004974,2017-01-04,2017-03-04,Second Class,9.84,2017,1,4,2,59,2.3832429960115,0.0005305326573023
CA-2017-166674,RB-19360,TEC-PH-10002365,2017-01-04,2017-03-04,Second Class,35.12,2017,1,4,2,59,3.5868467285487844,0.0019751541110509
CA-2015-144666,JP-15520,OFF-ST-10002743,2015-09-11,2015-11-11,Second Class,340.92,2015,9,11,4,61,5.8345767915708375,0.0194500449558424
CA-2015-144666,JP-15520,FUR-BO-10001601,2015-09-11,2015-11-11,Second Class,222.666,2015,9,11,4,61,5.410153867673198,0.0126924395210485
CA-2015-144666,JP-15520,TEC-PH-10002680,2015-09-11,2015-11-11,Second Class,703.968,2015,9,11,4,61,6.558152411711186,0.0401963633712115
CA-2015-144666,JP-15520,OFF-ST-10001321,2015-09-11,2015-11-11,Second Class,92.52,2015,9,11,4,61,4.538175317163813,0.0052552676966985
CA-2015-144666,JP-15520,OFF-PA-10001509,2015-09-11,2015-11-11,Second Class,62.65,2015,9,11,4,61,4.153399325003416,0.00354835144577
CA-2015-144666,JP-15520,OFF-PA-10003465,2015-09-11,2015-11-11,Second Class,94.85,2015,9,11,4,61,4.562784469491653,0.0053884151645479
CA-2015-134677,XP-21865,TEC-AC-10001445,2015-06-10,2015-10-10,Standard Class,9.09,2015,6,10,2,122,2.3115448343655176,0.0004876740303121
US-2016-138303,MG-18145,OFF-ST-10004963,2016-03-09,2016-07-09,Standard Class,36.336,2016,3,9,2,122,3.6199580086475134,0.0020446422316109
US-2016-138303,MG-18145,OFF-SU-10002881,2016-03-09,2016-07-09,Standard Class,666.248,2016,3,9,2,122,6.503161790902847,0.038040860157786
US-2016-138303,MG-18145,OFF-EN-10001335,2016-03-09,2016-07-09,Standard Class,52.512,2016,3,9,2,122,3.979905927816107,0.0029690170985349
CA-2016-102848,KB-16240,FUR-CH-10000595,2016-07-11,2016-09-11,Second Class,190.72,2016,7,11,0,62,5.25603597429143,0.0108668905906113
US-2018-129441,JC-15340,FUR-FU-10000448,2018-07-09,2018-11-09,Standard Class,47.94,2018,7,9,0,123,3.890595058014525,0.0027077509084028
US-2018-122637,EP-13915,OFF-BI-10002429,2018-03-09,2018-08-09,Second Class,42.616,2018,3,9,4,153,3.7754240555141214,0.0024035118016086
CA-2016-147851,MP-17470,OFF-BI-10004528,2016-03-12,2016-08-12,Standard Class,10.752,2016,3,12,5,153,2.464023438871576,0.0005826487477223
CA-2016-134894,DK-12985,OFF-AP-10001271,2016-07-12,2016-11-12,Standard Class,152.94,2016,7,12,1,123,5.036562916106171,0.0087079586870265
CA-2016-134894,DK-12985,FUR-CH-10002647,2016-07-12,2016-11-12,Standard Class,283.92,2016,7,12,1,123,5.6522084391101535,0.0161927893045896
CA-2015-140795,BD-11500,TEC-AC-10001432,2015-01-02,2015-03-02,First Class,468.9,2015,1,2,4,59,6.15251990610877,0.0267634410654448
CA-2018-112774,RC-19960,FUR-FU-10003039,2018-11-09,2018-12-09,First Class,34.504,2018,11,9,4,30,3.569645366190238,0.001939952892083
CA-2015-155852,AJ-10945,OFF-AR-10003560,2015-03-03,2015-07-03,Second Class,19.456,2015,3,3,1,122,3.0182762379888857,0.0010800374001522
CA-2016-130736,JF-15490,OFF-FA-10003467,2016-07-12,2016-09-12,First Class,3.96,2016,7,12,1,62,1.601405740736836,0.0001945210216993
CA-2016-130736,JF-15490,OFF-LA-10000634,2016-07-12,2016-09-12,First Class,2.61,2016,7,12,1,62,1.2837077723447896,0.000117375493117
CA-2018-137099,FP-14320,TEC-PH-10002496,2018-07-12,2018-10-12,First Class,374.376,2018,7,12,3,92,5.92792819030261,0.0213618825886199
CA-2018-156951,EB-13840,OFF-PA-10004530,2018-01-10,2018-08-10,Standard Class,91.84,2018,1,10,2,212,4.530877581406236,0.0052164092082274
CA-2018-156951,EB-13840,OFF-BI-10001107,2018-01-10,2018-08-10,Standard Class,81.088,2018,1,10,2,212,4.407791842559908,0.0046019879316963
CA-2018-156951,EB-13840,OFF-PA-10004451,2018-01-10,2018-08-10,Standard Class,19.44,2018,1,10,2,212,3.017493765335504,0.0010791230827764
CA-2018-156951,EB-13840,FUR-CH-10004997,2018-01-10,2018-08-10,Standard Class,451.152,2018,1,10,2,212,6.1140184064875545,0.0257492345163495
CA-2017-127250,SF-20200,OFF-AR-10003394,2017-03-11,2017-07-11,Standard Class,8.82,2017,3,11,5,122,2.2844211223663744,0.0004722449245956
CA-2018-145233,DV-13465,TEC-PH-10004977,2018-01-12,2018-05-12,Standard Class,470.376,2018,1,12,4,120,6.155656077029466,0.0268477868433615
CA-2018-145233,DV-13465,TEC-PH-10000586,2018-01-12,2018-05-12,Standard Class,105.584,2018,1,12,4,120,4.668933406657911,0.0060018078340312
CA-2018-145233,DV-13465,OFF-AP-10000358,2018-01-12,2018-05-12,Standard Class,31.152,2018,1,12,4,120,3.4704746571469,0.0017484034018549
CA-2018-145233,DV-13465,OFF-BI-10002764,2018-01-12,2018-05-12,Standard Class,6.783,2018,1,12,4,120,2.051941867977251,0.0003558408936903
CA-2018-145233,DV-13465,TEC-PH-10001254,2018-01-12,2018-05-12,Standard Class,406.368,2018,1,12,4,120,6.009716953825067,0.0231900601815125
CA-2016-128139,BD-11725,FUR-CH-10003956,2016-03-07,2016-09-07,Standard Class,70.98,2016,3,7,0,184,4.276388302650885,0.0040243679295408
CA-2016-128139,BD-11725,OFF-LA-10003930,2016-03-07,2016-09-07,Standard Class,294.93,2016,3,7,0,184,5.690122939870236,0.0168219539488053
CA-2016-168004,DJ-13420,FUR-CH-10001482,2016-04-10,2016-09-10,Second Class,392.94,2016,4,10,6,153,5.976198613437549,0.0224227193238805
CA-2017-103947,BB-10990,OFF-FA-10003112,2017-01-04,2017-08-04,Standard Class,31.56,2017,1,4,2,212,3.4830845411343394,0.0017717184949375
CA-2017-103947,BB-10990,OFF-AP-10002350,2017-01-04,2017-08-04,Standard Class,30.144,2017,1,4,2,212,3.4386216103081546,0.0016908014071801
